year_code,element_name,item_name,total_value
2003,Yield,"Almonds, in shell",35325
2003,Yield,Apples,253215
2003,Yield,Apricots,132242
2003,Yield,Artichokes,157113
2003,Yield,Asparagus,35616
2003,Yield,Avocados,78207
2003,Yield,Bananas,187747
2003,Yield,Barley,31673
2003,Yield,"Beans, dry",18717
2003,Yield,Blueberries,50511
2003,Yield,Buckwheat,10068
2003,Yield,Cabbages,237126
2003,Yield,Cantaloupes and other melons,280756
2003,Yield,Carrots and turnips,408618
2003,Yield,Cauliflowers and broccoli,170924
2003,Yield,Cherries,54648
2003,Yield,"Chick peas, dry",11290
2003,Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",278314
2003,Yield,"Coffee, green",15732
2003,Yield,"Cow peas, dry",17518
2003,Yield,Cranberries,176629
2003,Yield,Cucumbers and gherkins,153042
2003,Yield,Dates,77182
2003,Yield,Eggplants (aubergines),311848
2003,Yield,Figs,83630
2003,Yield,"Ginger, raw",418769
2003,Yield,Grapes,152971
2003,Yield,Green corn (maize),168153
2003,Yield,Green garlic,199922
2003,Yield,"Groundnuts, excluding shelled",35404
2003,Yield,"Hazelnuts, in shell",30342
2003,Yield,"Hen eggs in shell, fresh",153339
2003,Yield,Hop cones,21333
2003,Yield/Carcass Weight,"Horse meat, fresh or chilled",2500
2003,Yield,Kiwi fruit,119561
2003,Yield,Lemons and limes,372160
2003,Yield,"Lentils, dry",11549
2003,Yield,Lettuce and chicory,366719
2003,Yield,Linseed,11225
2003,Yield,Maize (corn),89246
2003,Yield,"Mangoes, guavas and mangosteens",43333
2003,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",3362
2003,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",17368
2003,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",22213
2003,Yield/Carcass Weight,"Meat of goat, fresh or chilled",147
2003,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",896
2003,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",302
2003,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",95711
2003,Yield,Millet,10350
2003,Yield,Mustard seed,8105
2003,Yield,Oats,23327
2003,Yield,Okra,71163
2003,Yield,Olives,73473
2003,Yield,"Onions and shallots, dry (excluding dehydrated)",495115
2003,Yield,Oranges,326896
2003,Yield,"Other beans, green",58921
2003,Yield,Other berries and fruits of the genus vaccinium n.e.c.,70523
2003,Yield,"Other citrus fruit, n.e.c.",350000
2003,Yield,"Other fruits, n.e.c.",144112
2003,Yield,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",26215
2003,Yield,"Other vegetables, fresh n.e.c.",784830
2003,Yield,Papayas,305261
2003,Yield,Peaches and nectarines,182040
2003,Yield,Pears,324456
2003,Yield,"Peas, dry",17749
2003,Yield,"Peas, green",112919
2003,Yield,Pineapples,420318
2003,Yield,"Pistachios, in shell",15159
2003,Yield,Plums and sloes,157885
2003,Yield,Pomelos and grapefruits,359894
2003,Yield,Potatoes,410985
2003,Yield,"Pumpkins, squash and gourds",196096
2003,Yield,Rape or colza seed,15865
2003,Yield,Raspberries,100212
2003,Yield,Raw hides and skins of cattle,307
2003,Yield,Raw hides and skins of goats or kids,28
2003,Yield,Raw hides and skins of sheep or lambs,32
2003,Yield,Raw milk of cattle,85088
2003,Yield,Raw milk of goats,996
2003,Yield,Rice,74759
2003,Yield,Rye,16988
2003,Yield,Safflower seed,14458
2003,Yield,"Seed cotton, unginned",20628
2003,Yield,Sorghum,33099
2003,Yield,Sour cherries,68640
2003,Yield,Soya beans,22769
2003,Yield,Spinach,180750
2003,Yield,Strawberries,499283
2003,Yield,String beans,86360
2003,Yield,Sugar beet,563031
2003,Yield,Sugar cane,843132
2003,Yield,Sunflower seed,13597
2003,Yield,Sweet potatoes,192348
2003,Yield,"Tangerines, mandarins, clementines",233962
2003,Yield,Taro,133529
2003,Yield,Tomatoes,682474
2003,Yield,Unmanufactured tobacco,21879
2003,Yield,"Walnuts, in shell",34309
2003,Yield,Watermelons,286557
2003,Yield,Wheat,29712
2004,Yield,"Almonds, in shell",34074
2004,Yield,Apples,305621
2004,Yield,Apricots,152752
2004,Yield,Artichokes,123092
2004,Yield,Asparagus,37581
2004,Yield,Avocados,58564
2004,Yield,Bananas,185926
2004,Yield,Barley,37429
2004,Yield,"Beans, dry",16404
2004,Yield,Blueberries,57218
2004,Yield,"Broad beans and horse beans, green",55504
2004,Yield,Buckwheat,10079
2004,Yield,Cabbages,370543
2004,Yield,Cantaloupes and other melons,279022
2004,Yield,Carrots and turnips,412288
2004,Yield,Cauliflowers and broccoli,172052
2004,Yield,Cherries,81076
2004,Yield,"Chick peas, dry",15314
2004,Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",291076
2004,Yield,"Coffee, green",10822
2004,Yield,"Cow peas, dry",17544
2004,Yield,Cranberries,177465
2004,Yield,Cucumbers and gherkins,152224
2004,Yield,Dates,70099
2004,Yield,Eggplants (aubergines),323372
2004,Yield,Figs,89492
2004,Yield,"Ginger, raw",446230
2004,Yield,Grapes,149911
2004,Yield,Green corn (maize),162157
2004,Yield,Green garlic,185270
2004,Yield,"Groundnuts, excluding shelled",34479
2004,Yield,"Hazelnuts, in shell",29600
2004,Yield,"Hen eggs in shell, fresh",154556
2004,Yield,Hop cones,22303
2004,Yield/Carcass Weight,"Horse meat, fresh or chilled",2501
2004,Yield,Kiwi fruit,133015
2004,Yield,Lemons and limes,299146
2004,Yield,"Lentils, dry",14247
2004,Yield,Lettuce and chicory,377442
2004,Yield,Linseed,12735
2004,Yield,Maize (corn),100637
2004,Yield,"Mangoes, guavas and mangosteens",43077
2004,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",3539
2004,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",17626
2004,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",22365
2004,Yield/Carcass Weight,"Meat of goat, fresh or chilled",0
2004,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",899
2004,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",304
2004,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",97279
2004,Yield,Millet,14190
2004,Yield,Mustard seed,9184
2004,Yield,Oats,23221
2004,Yield,Okra,72978
2004,Yield,Olives,75248
2004,Yield,"Onions and shallots, dry (excluding dehydrated)",550438
2004,Yield,Oranges,378130
2004,Yield,"Other beans, green",57696
2004,Yield,Other berries and fruits of the genus vaccinium n.e.c.,82281
2004,Yield,"Other citrus fruit, n.e.c.",414967
2004,Yield,"Other fruits, n.e.c.",184109
2004,Yield,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",25871
2004,Yield,"Other vegetables, fresh n.e.c.",782529
2004,Yield,Papayas,324780
2004,Yield,Peaches and nectarines,193905
2004,Yield,Pears,311739
2004,Yield,"Peas, dry",25204
2004,Yield,"Peas, green",107688
2004,Yield,Pineapples,379359
2004,Yield,"Pistachios, in shell",41821
2004,Yield,Plums and sloes,67360
2004,Yield,Pomelos and grapefruits,422759
2004,Yield,Potatoes,438152
2004,Yield,"Pumpkins, squash and gourds",206067
2004,Yield,Rape or colza seed,18109
2004,Yield,Raspberries,110338
2004,Yield,Raw hides and skins of cattle,323
2004,Yield,Raw hides and skins of goats or kids,0
2004,Yield,Raw hides and skins of sheep or lambs,32
2004,Yield,Raw milk of cattle,86002
2004,Yield,Raw milk of goats,992
2004,Yield,Rice,78328
2004,Yield,Rye,17271
2004,Yield,Safflower seed,13490
2004,Yield,"Seed cotton, unginned",23731
2004,Yield,Sorghum,43688
2004,Yield,Sour cherries,64612
2004,Yield,Soya beans,28405
2004,Yield,Spinach,197331
2004,Yield,Strawberries,482747
2004,Yield,String beans,92457
2004,Yield,Sugar beet,567709
2004,Yield,Sugar cane,764143
2004,Yield,Sunflower seed,13427
2004,Yield,Sweet potatoes,194603
2004,Yield,"Tangerines, mandarins, clementines",258223
2004,Yield,Taro,157333
2004,Yield,Tomatoes,805650
2004,Yield,Unmanufactured tobacco,24224
2004,Yield,"Walnuts, in shell",34044
2004,Yield,Watermelons,291756
2004,Yield,Wheat,29026
2005,Yield,"Almonds, in shell",29969
2005,Yield,Apples,293587
2005,Yield,Apricots,131308
2005,Yield,Artichokes,123188
2005,Yield,Asparagus,34876
2005,Yield,Avocados,103595
2005,Yield,Bananas,238791
2005,Yield,Barley,34873
2005,Yield,"Beans, dry",19512
2005,Yield,Blueberries,54627
2005,Yield,"Broad beans and horse beans, green",33019
2005,Yield,Buckwheat,10091
2005,Yield,Cabbages,367152
2005,Yield,Cantaloupes and other melons,259522
2005,Yield,Carrots and turnips,421108
2005,Yield,Cauliflowers and broccoli,172853
2005,Yield,Cherries,71041
2005,Yield,"Chick peas, dry",13780
2005,Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",264790
2005,Yield,"Coffee, green",15063
2005,Yield,"Cow peas, dry",17578
2005,Yield,Cranberries,181280
2005,Yield,Cucumbers and gherkins,146058
2005,Yield,Dates,68803
2005,Yield,Eggplants (aubergines),350214
2005,Yield,Figs,86164
2005,Yield,"Ginger, raw",472041
2005,Yield,Grapes,187367
2005,Yield,Green corn (maize),170302
2005,Yield,Green garlic,178851
2005,Yield,"Groundnuts, excluding shelled",33507
2005,Yield,"Hazelnuts, in shell",21862
2005,Yield,"Hen eggs in shell, fresh",155322
2005,Yield,Hop cones,20131
2005,Yield/Carcass Weight,"Horse meat, fresh or chilled",2499
2005,Yield,Kiwi fruit,185321
2005,Yield,Lemons and limes,333383
2005,Yield,"Lentils, dry",13396
2005,Yield,Lettuce and chicory,376137
2005,Yield,Linseed,12945
2005,Yield,Maize (corn),92852
2005,Yield,"Mangoes, guavas and mangosteens",48111
2005,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",3356
2005,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",18083
2005,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",21873
2005,Yield/Carcass Weight,"Meat of goat, fresh or chilled",0
2005,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",906
2005,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",307
2005,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",100636
2005,Yield,Millet,14875
2005,Yield,Mustard seed,8824
2005,Yield,Oats,22598
2005,Yield,Okra,75896
2005,Yield,Olives,99475
2005,Yield,"Onions and shallots, dry (excluding dehydrated)",498664
2005,Yield,Oranges,281184
2005,Yield,"Other beans, green",61172
2005,Yield,Other berries and fruits of the genus vaccinium n.e.c.,81628
2005,Yield,"Other citrus fruit, n.e.c.",223855
2005,Yield,"Other fruits, n.e.c.",148760
2005,Yield,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",25766
2005,Yield,"Other vegetables, fresh n.e.c.",781468
2005,Yield,Papayas,249082
2005,Yield,Peaches and nectarines,181212
2005,Yield,Pears,304807
2005,Yield,"Peas, dry",20492
2005,Yield,"Peas, green",100383
2005,Yield,Pineapples,339433
2005,Yield,"Pistachios, in shell",30210
2005,Yield,Plums and sloes,102209
2005,Yield,Pomelos and grapefruits,221556
2005,Yield,Potatoes,437303
2005,Yield,"Pumpkins, squash and gourds",221192
2005,Yield,Rape or colza seed,15909
2005,Yield,Raspberries,121050
2005,Yield,Raw hides and skins of cattle,306
2005,Yield,Raw hides and skins of goats or kids,0
2005,Yield,Raw hides and skins of sheep or lambs,33
2005,Yield,Raw milk of cattle,88679
2005,Yield,Raw milk of goats,985
2005,Yield,Rice,74245
2005,Yield,Rye,16956
2005,Yield,Safflower seed,15013
2005,Yield,"Seed cotton, unginned",23052
2005,Yield,Sorghum,42976
2005,Yield,Sour cherries,81800
2005,Yield,Soya beans,28961
2005,Yield,Spinach,199255
2005,Yield,Strawberries,498576
2005,Yield,String beans,87509
2005,Yield,Sugar beet,545399
2005,Yield,Sugar cane,713137
2005,Yield,Sunflower seed,17251
2005,Yield,Sweet potatoes,199441
2005,Yield,"Tangerines, mandarins, clementines",201332
2005,Yield,Taro,120667
2005,Yield,Tomatoes,725485
2005,Yield,Unmanufactured tobacco,24336
2005,Yield,"Walnuts, in shell",37014
2005,Yield,Watermelons,311669
2005,Yield,Wheat,28231
2006,Yield,"Almonds, in shell",36049
2006,Yield,Apples,305857
2006,Yield,Apricots,76408
2006,Yield,Artichokes,96761
2006,Yield,Asparagus,29914
2006,Yield,Avocados,84967
2006,Yield,Bananas,190370
2006,Yield,Barley,32846
2006,Yield,"Beans, dry",17677
2006,Yield,Blueberries,58488
2006,Yield,"Broad beans and horse beans, green",31441
2006,Yield,Buckwheat,10000
2006,Yield,Cabbages,390839
2006,Yield,Cantaloupes and other melons,247208
2006,Yield,Carrots and turnips,400140
2006,Yield,Cauliflowers and broccoli,171205
2006,Yield,Cherries,80955
2006,Yield,"Chick peas, dry",12980
2006,Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",303407
2006,Yield,"Coffee, green",12984
2006,Yield,"Cow peas, dry",17600
2006,Yield,Cranberries,200594
2006,Yield,Cucumbers and gherkins,147388
2006,Yield,Dates,70581
2006,Yield,Eggplants (aubergines),336566
2006,Yield,Figs,81285
2006,Yield,"Ginger, raw",487500
2006,Yield,Grapes,151798
2006,Yield,Green corn (maize),174297
2006,Yield,Green garlic,187849
2006,Yield,"Groundnuts, excluding shelled",32211
2006,Yield,"Hazelnuts, in shell",32476
2006,Yield,"Hen eggs in shell, fresh",155710
2006,Yield,Hop cones,22012
2006,Yield/Carcass Weight,"Horse meat, fresh or chilled",2502
2006,Yield,Kiwi fruit,131118
2006,Yield,Lemons and limes,367257
2006,Yield,"Lentils, dry",8934
2006,Yield,Lettuce and chicory,357129
2006,Yield,Linseed,9017
2006,Yield,Maize (corn),93577
2006,Yield,"Mangoes, guavas and mangosteens",50209
2006,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",3250
2006,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",18209
2006,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",21734
2006,Yield/Carcass Weight,"Meat of goat, fresh or chilled",147
2006,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",912
2006,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",303
2006,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",101179
2006,Yield,Millet,12028
2006,Yield,Mustard seed,8069
2006,Yield,Oats,21447
2006,Yield,Okra,75352
2006,Yield,Olives,36158
2006,Yield,"Onions and shallots, dry (excluding dehydrated)",492705
2006,Yield,Oranges,359361
2006,Yield,"Other beans, green",55454
2006,Yield,Other berries and fruits of the genus vaccinium n.e.c.,67894
2006,Yield,"Other citrus fruit, n.e.c.",286858
2006,Yield,"Other fruits, n.e.c.",223800
2006,Yield,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",25082
2006,Yield,"Other vegetables, fresh n.e.c.",778107
2006,Yield,Papayas,202844
2006,Yield,Peaches and nectarines,163313
2006,Yield,Pears,315017
2006,Yield,"Peas, dry",16738
2006,Yield,"Peas, green",114841
2006,Yield,Pineapples,303202
2006,Yield,"Pistachios, in shell",24251
2006,Yield,Plums and sloes,176911
2006,Yield,Pomelos and grapefruits,303495
2006,Yield,Potatoes,440949
2006,Yield,"Pumpkins, squash and gourds",224778
2006,Yield,Rape or colza seed,15304
2006,Yield,Raspberries,111407
2006,Yield,Raw hides and skins of cattle,296
2006,Yield,Raw hides and skins of goats or kids,28
2006,Yield,Raw hides and skins of sheep or lambs,32
2006,Yield,Raw milk of cattle,90243
2006,Yield,Raw milk of goats,981
2006,Yield,Rice,77313
2006,Yield,Rye,16477
2006,Yield,Safflower seed,12333
2006,Yield,"Seed cotton, unginned",22619
2006,Yield,Sorghum,35194
2006,Yield,Sour cherries,79486
2006,Yield,Soya beans,28817
2006,Yield,Spinach,185064
2006,Yield,Strawberries,505721
2006,Yield,String beans,88796
2006,Yield,Sugar beet,645697
2006,Yield,Sugar cane,813785
2006,Yield,Sunflower seed,13574
2006,Yield,Sweet potatoes,210574
2006,Yield,"Tangerines, mandarins, clementines",264823
2006,Yield,Taro,136000
2006,Yield,Tomatoes,721825
2006,Yield,Unmanufactured tobacco,24067
2006,Yield,"Walnuts, in shell",36493
2006,Yield,Watermelons,329544
2006,Yield,Wheat,25986
2007,Yield,"Almonds, in shell",46830
2007,Yield,Apples,290344
2007,Yield,Apricots,156767
2007,Yield,Artichokes,123136
2007,Yield,Asparagus,38416
2007,Yield,Avocados,65052
2007,Yield,Bananas,220760
2007,Yield,Barley,32279
2007,Yield,"Beans, dry",19387
2007,Yield,Blueberries,60266
2007,Yield,"Broad beans and horse beans, green",31333
2007,Yield,Buckwheat,10000
2007,Yield,Cabbages,326131
2007,Yield,Cantaloupes and other melons,301453
2007,Yield,Carrots and turnips,380711
2007,Yield,Cauliflowers and broccoli,173861
2007,Yield,Cherries,85281
2007,Yield,"Chick peas, dry",13999
2007,Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",283790
2007,Yield,"Coffee, green",13127
2007,Yield,"Cow peas, dry",16403
2007,Yield,Cranberries,192801
2007,Yield,Cucumbers and gherkins,150889
2007,Yield,Dates,68937
2007,Yield,Eggplants (aubergines),340909
2007,Yield,Figs,117738
2007,Yield,"Ginger, raw",396875
2007,Yield,Grapes,168929
2007,Yield,Green corn (maize),172115
2007,Yield,Green garlic,185408
2007,Yield,"Groundnuts, excluding shelled",35085
2007,Yield,"Hazelnuts, in shell",29003
2007,Yield,"Hen eggs in shell, fresh",155964
2007,Yield,Hop cones,21848
2007,Yield/Carcass Weight,"Horse meat, fresh or chilled",2512
2007,Yield,Kiwi fruit,130741
2007,Yield,Lemons and limes,295676
2007,Yield,"Lentils, dry",13868
2007,Yield,Lettuce and chicory,360571
2007,Yield,Linseed,10604
2007,Yield,Maize (corn),94585
2007,Yield,"Mangoes, guavas and mangosteens",44000
2007,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",3383
2007,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",18402
2007,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",21863
2007,Yield/Carcass Weight,"Meat of goat, fresh or chilled",147
2007,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",912
2007,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",327
2007,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",101886
2007,Yield,Millet,18214
2007,Yield,Mustard seed,6818
2007,Yield,Oats,21566
2007,Yield,Okra,76923
2007,Yield,Olives,99003
2007,Yield,"Onions and shallots, dry (excluding dehydrated)",557626
2007,Yield,Oranges,252366
2007,Yield,"Other beans, green",30258
2007,Yield,Other berries and fruits of the genus vaccinium n.e.c.,103339
2007,Yield,"Other citrus fruit, n.e.c.",228212
2007,Yield,"Other fruits, n.e.c.",288986
2007,Yield,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",25565
2007,Yield,"Other vegetables, fresh n.e.c.",789771
2007,Yield,Papayas,285849
2007,Yield,Peaches and nectarines,200447
2007,Yield,Pears,336766
2007,Yield,"Peas, dry",22501
2007,Yield,"Peas, green",120939
2007,Yield,Pineapples,301754
2007,Yield,"Pistachios, in shell",40546
2007,Yield,Plums and sloes,92362
2007,Yield,Pomelos and grapefruits,423254
2007,Yield,Potatoes,444336
2007,Yield,"Pumpkins, squash and gourds",227040
2007,Yield,Rape or colza seed,13877
2007,Yield,Raspberries,99246
2007,Yield,Raw hides and skins of cattle,309
2007,Yield,Raw hides and skins of goats or kids,28
2007,Yield,Raw hides and skins of sheep or lambs,35
2007,Yield,Raw milk of cattle,91644
2007,Yield,Raw milk of goats,968
2007,Yield,Rice,80917
2007,Yield,Rye,15720
2007,Yield,Safflower seed,13767
2007,Yield,"Seed cotton, unginned",23933
2007,Yield,Sorghum,45971
2007,Yield,Sour cherries,81668
2007,Yield,Soya beans,28067
2007,Yield,Spinach,182104
2007,Yield,Strawberries,525271
2007,Yield,String beans,81932
2007,Yield,Sugar beet,632463
2007,Yield,Sugar cane,779588
2007,Yield,Sunflower seed,15982
2007,Yield,Sweet potatoes,207941
2007,Yield,"Tangerines, mandarins, clementines",219898
2007,Yield,Taro,111728
2007,Yield,Tomatoes,831205
2007,Yield,Unmanufactured tobacco,24799
2007,Yield,"Walnuts, in shell",33728
2007,Yield,Watermelons,324480
2007,Yield,Wheat,27046
2008,Yield,"Almonds, in shell",51238
2008,Yield,Apples,309247
2008,Yield,Apricots,146953
2008,Yield,Artichokes,145758
2008,Yield,Asparagus,33139
2008,Yield,Avocados,35704
2008,Yield,Bananas,177303
2008,Yield,Barley,34072
2008,Yield,"Beans, dry",19822
2008,Yield,Blueberries,64649
2008,Yield,"Broad beans and horse beans, green",32990
2008,Yield,Buckwheat,10000
2008,Yield,Cabbages,417735
2008,Yield,Cantaloupes and other melons,289672
2008,Yield,Carrots and turnips,407574
2008,Yield,Cauliflowers and broccoli,183158
2008,Yield,Cherries,67325
2008,Yield,"Chick peas, dry",15263
2008,Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",296524
2008,Yield,"Coffee, green",15490
2008,Yield,"Cow peas, dry",15073
2008,Yield,Cranberries,230801
2008,Yield,Cucumbers and gherkins,157694
2008,Yield,Dates,82185
2008,Yield,Eggplants (aubergines),342954
2008,Yield,Figs,103260
2008,Yield,"Ginger, raw",340000
2008,Yield,Grapes,175305
2008,Yield,Green corn (maize),161455
2008,Yield,Green garlic,188573
2008,Yield,"Groundnuts, excluding shelled",38396
2008,Yield,"Hazelnuts, in shell",25259
2008,Yield,"Hen eggs in shell, fresh",157472
2008,Yield,Hop cones,22097
2008,Yield/Carcass Weight,"Horse meat, fresh or chilled",2558
2008,Yield,Kiwi fruit,122735
2008,Yield,Lemons and limes,235194
2008,Yield,"Lentils, dry",10277
2008,Yield,Lettuce and chicory,356314
2008,Yield,Linseed,10552
2008,Yield,Maize (corn),96209
2008,Yield,"Mangoes, guavas and mangosteens",42857
2008,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",3389
2008,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",18726
2008,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",21843
2008,Yield/Carcass Weight,"Meat of goat, fresh or chilled",147
2008,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",909
2008,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",309
2008,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",104462
2008,Yield,Millet,18128
2008,Yield,Mustard seed,6467
2008,Yield,Oats,22842
2008,Yield,Okra,75899
2008,Yield,Olives,49914
2008,Yield,"Onions and shallots, dry (excluding dehydrated)",548514
2008,Yield,Oranges,340633
2008,Yield,"Other beans, green",28786
2008,Yield,Other berries and fruits of the genus vaccinium n.e.c.,75624
2008,Yield,"Other citrus fruit, n.e.c.",293203
2008,Yield,"Other fruits, n.e.c.",244308
2008,Yield,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",25625
2008,Yield,"Other vegetables, fresh n.e.c.",793084
2008,Yield,Papayas,273118
2008,Yield,Peaches and nectarines,206215
2008,Yield,Pears,332635
2008,Yield,"Peas, dry",16231
2008,Yield,"Peas, green",44021
2008,Yield,Pineapples,313043
2008,Yield,"Pistachios, in shell",26407
2008,Yield,Plums and sloes,127926
2008,Yield,Pomelos and grapefruits,416082
2008,Yield,Potatoes,444373
2008,Yield,"Pumpkins, squash and gourds",226665
2008,Yield,Rape or colza seed,16377
2008,Yield,Raspberries,93140
2008,Yield,Raw hides and skins of cattle,309
2008,Yield,Raw hides and skins of goats or kids,28
2008,Yield,Raw hides and skins of sheep or lambs,33
2008,Yield,Raw milk of cattle,92519
2008,Yield,Raw milk of goats,960
2008,Yield,Rice,76731
2008,Yield,Rye,18249
2008,Yield,Safflower seed,17843
2008,Yield,"Seed cotton, unginned",21846
2008,Yield,Sorghum,40848
2008,Yield,Sour cherries,69153
2008,Yield,Soya beans,26718
2008,Yield,Spinach,191049
2008,Yield,Strawberries,521030
2008,Yield,String beans,85352
2008,Yield,Sugar beet,599886
2008,Yield,Sugar cane,712869
2008,Yield,Sunflower seed,16012
2008,Yield,Sweet potatoes,212454
2008,Yield,"Tangerines, mandarins, clementines",291696
2008,Yield,Taro,121875
2008,Yield,Tomatoes,846034
2008,Yield,Unmanufactured tobacco,25311
2008,Yield,"Walnuts, in shell",42494
2008,Yield,Watermelons,357115
2008,Yield,Wheat,30175
2009,Yield,"Almonds, in shell",39887
2009,Yield,Apples,314830
2009,Yield,Apricots,124732
2009,Yield,Artichokes,140115
2009,Yield,Asparagus,34501
2009,Yield,Avocados,100978
2009,Yield,Bananas,188539
2009,Yield,Barley,39150
2009,Yield,"Beans, dry",19429
2009,Yield,Blueberries,64994
2009,Yield,"Broad beans and horse beans, green",32502
2009,Yield,Buckwheat,10155
2009,Yield,Cabbages,387098
2009,Yield,Cantaloupes and other melons,285961
2009,Yield,Carrots and turnips,397254
2009,Yield,Cauliflowers and broccoli,184247
2009,Yield,Cherries,116380
2009,Yield,"Chick peas, dry",17237
2009,Yield,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",307805
2009,Yield,"Coffee, green",15490
2009,Yield,"Cow peas, dry",19035
2009,Yield,Cranberries,201264
2009,Yield,Cucumbers and gherkins,158187
2009,Yield,Dates,79307
2009,Yield,Eggplants (aubergines),349660
2009,Yield,Figs,105444
2009,Yield,"Ginger, raw",340000
2009,Yield,Grapes,173381
2009,Yield,Green corn (maize),170122
2009,Yield,Green garlic,195444
2009,Yield,"Groundnuts, excluding shelled",38348
2009,Yield,"Hazelnuts, in shell",36713
2009,Yield,"Hen eggs in shell, fresh",158865
2009,Yield,Hop cones,26712
2009,Yield/Carcass Weight,"Horse meat, fresh or chilled",2545
2009,Yield,Kiwi fruit,136612
